# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Mach number (​),Dynamic Pressure (mbar)
68.02,913.66,37.763,0.071,114.092,0.202,114.093,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.744,11.163,9.061,908.392,0.112,7.997
68.52,894.81,37.728,0.087,113.164,0.202,113.164,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.754,11.163,9.184,910.498,0.112,7.997
69.02,875.978,37.694,0.071,112.228,0.201,112.228,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.743,11.163,9.306,912.602,0.112,7.997
69.52,857.164,37.658,0.076,111.286,0.201,111.287,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.742,11.163,9.428,914.704,0.112,7.997
70.02,838.367,37.622,0.079,110.35,0.201,110.35,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.741,11.163,9.551,916.804,0.111,7.997
70.52,819.588,37.588,0.107,109.412,0.201,109.412,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.748,11.163,9.673,918.902,0.111,7.997
71.02,800.826,37.551,0.099,108.48,0.2,108.481,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.735,11.163,9.795,920.998,0.111,7.996
71.52,782.082,37.514,0.083,107.567,0.2,107.568,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.723,11.163,9.916,923.093,0.111,7.995
72.02,763.356,37.481,0.07,106.657,0.2,106.658,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.709,11.163,10.038,925.185,0.111,7.996
72.52,744.647,37.446,0.104,105.743,0.2,105.743,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.723,11.163,10.16,927.275,0.111,7.995
73.02,725.955,37.413,0.074,104.82,0.2,104.821,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.698,11.163,10.281,929.364,0.111,7.996
73.52,707.28,37.38,0.118,103.885,0.199,103.885,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.719,11.163,10.403,931.45,0.111,7.996
74.02,688.622,37.348,0.068,102.934,0.199,102.934,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.679,11.163,10.524,933.534,0.11,7.997
74.52,669.982,37.314,0.09,101.97,0.199,101.97,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.685,11.163,10.645,935.617,0.11,7.997
75.02,651.358,37.282,0.079,100.999,0.199,100.999,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.672,11.163,10.766,937.698,0.11,7.997
75.52,632.752,37.249,0.068,100.014,0.198,100.015,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.66,11.163,10.887,939.777,0.11,7.998
76.02,614.162,37.216,0.079,99.024,0.198,99.024,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.659,11.163,11.008,941.854,0.11,7.998
76.52,595.589,37.184,0.069,98.027,0.198,98.027,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.646,11.163,11.129,943.929,0.11,7.998
77.02,577.032,37.15,0.069,97.026,0.198,97.027,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.64,11.163,11.249,946.002,0.11,7.998
77.52,558.493,37.116,0.152,96.031,0.197,96.031,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.685,11.163,11.37,948.073,0.11,7.997
78.02,539.969,37.079,0.139,95.055,0.197,95.056,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.661,11.163,11.49,950.143,0.109,7.995
78.52,521.463,37.043,0.068,94.112,0.197,94.112,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.612,11.163,11.61,952.21,0.109,7.994
79.02,502.973,37.011,0.09,93.182,0.196,93.182,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.619,11.163,11.731,954.276,0.109,7.994
79.52,484.499,36.98,0.072,92.241,0.196,92.242,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.629,11.163,11.851,956.426,0.109,7.995
80.02,466.041,36.948,0.071,91.29,0.196,91.29,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.647,11.163,11.971,958.591,0.109,7.996
80.52,447.6,36.915,0.067,90.338,0.196,90.338,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.658,11.163,12.091,960.754,0.109,7.996
81.02,429.175,36.882,0.106,89.388,0.195,89.388,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.687,11.163,12.21,962.915,0.109,7.997
81.52,410.767,36.85,0.067,88.428,0.195,88.428,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.665,11.163,12.33,965.074,0.109,7.998
82.02,392.376,36.817,0.077,87.459,0.195,87.459,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.672,11.163,12.45,967.231,0.109,7.997
82.52,374.001,36.785,0.078,86.486,0.195,86.486,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.671,11.163,12.569,969.386,0.108,7.998
83.02,355.643,36.752,0.069,85.504,0.194,85.504,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.662,11.163,12.688,971.539,0.108,7.998
83.52,337.302,36.719,0.071,84.519,0.194,84.519,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.661,11.163,12.808,973.69,0.108,7.998
84.02,318.977,36.686,0.069,83.533,0.194,83.533,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.655,11.163,12.927,975.839,0.108,7.998
84.52,300.669,36.654,0.074,82.541,0.194,82.541,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.653,11.163,13.046,977.987,0.108,7.998
85.02,282.377,36.622,0.125,81.543,0.193,81.543,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.673,11.163,13.165,980.132,0.108,7.999
85.52,264.102,36.586,0.068,80.554,0.193,80.554,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.633,11.163,13.283,982.275,0.108,7.997
86.02,245.843,36.553,0.113,79.58,0.193,79.58,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.651,11.163,13.402,984.417,0.108,7.997
86.52,227.6,36.518,0.132,78.621,0.193,78.621,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.656,11.163,13.521,986.556,0.107,7.996
87.02,209.373,36.483,0.069,77.688,0.192,77.688,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.613,11.163,13.639,988.694,0.107,7.994
87.52,191.163,36.452,0.088,76.765,0.192,76.766,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.618,11.163,13.757,990.83,0.107,7.994
88.02,172.969,36.421,0.064,75.832,0.192,75.833,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.6,11.163,13.876,992.964,0.107,7.995
88.52,154.79,36.389,0.065,74.893,0.192,74.893,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.596,11.163,13.994,995.096,0.107,7.995
89.02,136.628,36.357,0.065,73.956,0.191,73.956,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.592,11.163,14.112,997.226,0.107,7.994
89.52,118.481,36.326,0.072,73.019,0.191,73.019,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.59,11.163,14.23,999.354,0.107,7.994
90.02,100.35,36.296,0.077,72.076,0.191,72.076,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.583,11.163,14.348,1001.481,0.107,7.995
90.52,82.235,36.263,0.082,71.133,0.191,71.133,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.583,11.163,14.465,1003.605,0.106,7.994
91.02,64.135,36.233,0.064,70.19,0.19,70.19,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.567,11.163,14.583,1005.728,0.106,7.995
91.52,46.051,36.203,0.063,69.237,0.19,69.238,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.561,11.163,14.701,1007.849,0.106,7.995
92.02,27.983,36.172,0.062,68.282,0.19,68.282,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.555,11.163,14.818,1009.968,0.106,7.995
92.52,9.93,36.142,0.096,67.323,0.19,67.324,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.567,11.163,14.935,1012.085,0.106,7.995
92.796,0,36.126,0.087,66.792,0.19,66.793,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.558,11.163,15,1013.25,0.106,7.995
